validation_season,baseline_s4_brier,e22r_mixture_s4_brier,e22r_mixture_brier_delta,e22r_mixture_score_delta,history_labeled_rows
2022,0.24503246145381052,0.24521587756513158,0.00018341611132105529,-73.61272090768966,394866
2023,0.24920833793490654,0.24905571327970047,-0.00015262465520607393,61.04986252905013,518230
2024,0.2484399779721525,0.2483989586513047,-4.1019320847796026e-05,16.420409706141527,661038
