validation_season,history_rows,valid_rows,baseline_brier,e14_brier,e14_brier_delta,baseline_score,e14_score,e14_score_delta,standalone_e14_brier,invalid_rows,unseen_pitcher_rows,feature_invariance_max_abs_delta,residual_correlation
2022,728588,247472,0.24529082335105196,0.24502566173269696,-0.0002651616183549921,1554.3139012917372,1660.7345862948653,106.42068500312803,0.24617042984009277,0,38950,0.0,0.9998798110962408
2023,976060,245525,0.24973661324939242,0.24928577346505307,-0.0004508397843393519,105.35396945846598,285.6898845134626,180.33591505499658,0.2485739029836667,0,33878,0.0,0.9998805480593846
2024,1221585,253507,0.24878345821887318,0.2484989019024599,-0.00028455631641327583,409.70382655211023,523.6143253952164,113.91049884310615,0.24870182019927592,0,50348,0.0,0.9998588340237373
