candidate,season,raw_score,calibrated_score,v2_ensemble_score,brier_delta_vs_v2,ci_low,ci_high,expected_lb_median,expected_lb_min,expected_lb_max
V3_sparse_m2_1100,2022,2452.477185991131,2440.2545620273663,2324.2658602475876,-0.000289001634164656,-0.00042430455880068825,-0.00015403456559922186,,,
V3_sparse_m3_1103,2022,2457.159793028485,2445.2773146456775,2324.2658602475876,-0.0003015165058066312,-0.0004380474910605469,-0.0001677177945042479,,,
V3_sparse_m2_1100,2023,0.0,0.0,0.0,0.0005755419951686098,0.0002855614523051132,0.0009188982890031111,,,
V3_sparse_m3_1103,2023,0.0,0.0,0.0,0.0003768795817540704,0.00011988673370444168,0.0006645936979911778,,,
V3_sparse_m2_1100,2024,932.9727607444216,960.5051609414494,696.5299753440956,-0.0006594282985412647,-0.0007968695151174332,-0.0005304128421534833,1100.6527443830494,1098.4878138449494,1105.9149217080494
V3_sparse_m3_1103,2024,937.7467776663484,963.5501123076207,696.5299753440956,-0.0006670347979704108,-0.0008044198625413961,-0.0005385441815820473,1103.6976957492207,1101.5327652111207,1108.9598730742207
