validation_season,baseline_s4_brier,e10_s4_brier,e10_brier_delta,e10_score_delta,excluded_history_rows
2022,0.24503246145381052,0.2467407212605233,0.0017082598067127697,-685.5976363453475,74860
2023,0.24920833793490654,0.24889718409436318,-0.0003111538405433656,124.46153712785127,74860
2024,0.2484399779721525,0.24833272542725426,-0.00010725254489823977,42.93417572149838,74860
