validation_season,baseline_s4_brier,e11_s4_brier,e11_brier_delta,e11_score_delta,eb_group_unseen_rows,feature_invariance_max_abs_delta,residual_correlation
2022,0.24503246145381052,0.24477780147467829,-0.0002546599791322379,102.2059285588407,0,0.0,0.9999549717850004
2023,0.24920833793490654,0.24956757002107702,0.00035923208617047453,-143.69283551938227,0,0.0,0.9998687149373469
2024,0.2484399779721525,0.24867977958746224,0.00023980161530973154,-95.99478221963284,0,0.0,0.9998488303459862
