stage,validation_season,model,brier,competition_score,delta_vs_baseline,ci_low,ci_high,significant
v2_linear_cfg03,2022,linear,0.24358596024858925,2238.548295116205,-0.001446501205221237,-0.0017642498533766767,-0.0011696460351644316,True
v2_linear_cfg03,2023,linear,0.2509739992625849,0.0,0.0017656613276783857,0.001350530915759299,0.0022568454975608635,False
v2_linear_cfg03,2024,linear,0.24916160116045818,258.3297447784849,0.0007216231883056051,0.0005233374854266352,0.0009359800283094235,False
