stage,validation_season,model,brier,competition_score,delta_vs_baseline,ci_low,ci_high,significant
v2_linear_b4,2022,linear,0.2454277654708509,1499.353178525009,-2.0174830051010026e-06,-1.619942604791936e-05,1.285595479919187e-05,False
v2_linear_b4,2023,linear,0.24905545418560926,377.81759696494663,-8.323445500696402e-06,-2.3004867632352806e-05,5.58127582962451e-06,False
v2_linear_b4,2024,linear,0.24859097444259942,486.756844565972,2.1566841789758924e-05,8.930788665687418e-06,3.506423239585219e-05,False
