stage,validation_season,model,brier,competition_score,delta_vs_baseline,ci_low,ci_high,significant
v2_linear_cfg00,2022,linear,0.24542978295385603,1498.5434764092975,0.00039732150004552665,0.000333389581049212,0.00046971725721782254,False
v2_linear_cfg00,2023,linear,0.2490637776311099,374.488218740332,-0.0001445603037965301,-0.0002151200952578335,-8.843146595196052e-05,True
v2_linear_cfg00,2024,linear,0.24856940760080962,495.39024879931003,0.00012942962865709605,0.00011035420430587652,0.0001509706151159801,False
