stage,validation_season,model,brier,competition_score,delta_vs_baseline,ci_low,ci_high,significant
v2_linear_cfg02,2022,linear,0.24363619446772694,2218.3871569982693,-0.001396266986083486,-0.0016864491725350913,-0.0011421068250795725,True
v2_linear_cfg02,2023,linear,0.2506090788157641,0.0,0.0014007408808576268,0.0010629892416658933,0.0017999758867028152,False
v2_linear_cfg02,2024,linear,0.24903852171291396,307.5995745394744,0.0005985437407614515,0.0004272348015318347,0.0007835341046443595,False
