validation_season,ensemble,brier,brier_delta_vs_s4,score_delta_vs_s4
2022,M0_s4,0.24503246145381052,0.0,0.0
2022,M1_conservative,0.2450386686043594,6.207150548886986e-06,-2.4911946812976566
2022,M2_soft_focus,0.24503792456294726,5.463109136738531e-06,-2.19257907756446
2022,M3_mixture_focus,0.24505424614480728,2.1784690996756728e-05,-8.743127126919944
2022,M4_balanced,0.24504520988104733,1.2748427236808357e-05,-5.116488455869558
2022,M5_no_e16,0.24504610961939774,1.36481655872156e-05,-5.477591892211194
2023,M0_s4,0.24920833793490654,0.0,0.0
2023,M1_conservative,0.2491982628286048,-1.0075106301743464e-05,4.03004255018493
2023,M2_soft_focus,0.2491979312860017,-1.0406648904837112e-05,4.162659592388252
2023,M3_mixture_focus,0.24918011098038406,-2.822695452248114e-05,11.290781891593042
2023,M4_balanced,0.249188447715913,-1.9890218993540154e-05,7.956087655625083
2023,M5_no_e16,0.24918911103036187,-1.9226904544672463e-05,7.690761874135092
2024,M0_s4,0.2484399779721525,0.0,0.0
2024,M1_conservative,0.24843616287579834,-3.815096354164993e-06,1.527218001395795
2024,M2_soft_focus,0.24843559648837066,-4.381483781845663e-06,1.7539480745120954
2024,M3_mixture_focus,0.24842944820587454,-1.0529766277966868e-05,4.215161851062135
2024,M4_balanced,0.24843259269417173,-7.385277980775928e-06,2.9563943949261784
2024,M5_no_e16,0.24843175548499233,-8.222487160175485e-06,3.2915368948781634
