validation_season,baseline_s4_brier,e20r_s4_brier,e20r_brier_delta,e20r_score_delta,profile_unseen_rows
2022,0.24503246145381052,0.24502685561673476,-5.605837075761677e-06,2.249861896752691,54357
2023,0.24920833793490654,0.24921307335442072,4.735419514179107e-06,-1.8941678195271834,41371
2024,0.2484399779721525,0.2484447672020129,4.789229860385769e-06,-1.9171725630595802,59422
