stage,validation_season,model,brier,competition_score,delta_vs_baseline,ci_low,ci_high,significant
v4_deep_outcome_smoke_fixed,2024,deep_mlp_outcome,0.2503085954964161,0.0,0.0,0.0,0.0,False
v4_deep_outcome_smoke_fixed,2024,deepfm_outcome,0.24943175046119184,158.7647980312301,-0.0008768450352242557,-0.0015447833972822567,-0.00023780810785144246,True
v4_deep_outcome_smoke_fixed,2024,tabtransformer_outcome,0.24862136774857838,483.1405475661299,-0.0016872277478377025,-0.002300783890511981,-0.0012027515352039258,True
