strategy,protocol,family,calibration,folds,mean_brier,weighted_brier,mean_raw_skill,worst_raw_skill,positive_skill_folds,mean_score,mean_auc,brier_2022,score_2022,brier_2023,score_2023,brier_2024,score_2024
refit__hgb__affine_brier,refit,hgb,affine_brier,3,0.24892402243862422,0.24891604042649434,0.002956237407042465,-0.014574512368549675,2,781.4408196559024,0.5479417528605989,0.24366913038685858,2205.1685656465424,0.25364362623659403,0.0,0.24945931069241994,139.15389332116445
refit__hgb__platt,refit,hgb,platt,3,0.24893654826005462,0.24892888697168758,0.002906087971087934,-0.01454310173713469,2,775.3788550132831,0.5479417528605989,0.24366893697868305,2205.2461886096776,0.25363577357879774,0.0,0.24950493422268305,120.89037643017164
frozen__ensemble__members_platt,frozen,ensemble,members_platt,3,0.2489525691182584,0.2489433384251075,0.002836554111628272,-0.011247084015974407,2,658.5582116953075,0.5429085214326445,0.24499011918790967,1674.9993278758036,0.2528117691545357,0.0,0.24905581901232984,300.6753072101187
frozen__ensemble__members_affine_brier,frozen,ensemble,members_affine_brier,3,0.24895285351906102,0.2489435706237905,0.0028354579603387573,-0.011294945671238343,2,660.0439850751538,0.5429039602777629,0.24498141125166545,1678.4941946888177,0.2528237345682642,0.0,0.2490534147372534,301.63776053664384
refit__ensemble__members_isotonic,refit,ensemble,members_isotonic,3,0.2489934070907781,0.24897749107934009,0.0026764655270836712,-0.015947350531760218,2,799.2249037670412,0.5460734097352706,0.24435775148944883,1928.7954996655033,0.2539868357748859,0.0,0.24863563400799957,468.87921163562
refit__hgb__isotonic,refit,hgb,isotonic,3,0.249012267439386,0.248995222120163,0.002603196222988472,-0.017996731996834603,2,860.2106888600006,0.5473894378364234,0.24386361024695338,2127.115489718745,0.2544991811374064,0.0,0.2486740109337983,453.516576861257
frozen__ensemble__post_affine_brier,frozen,ensemble,post_affine_brier,3,0.24909650010549123,0.2490859612197477,0.002259748277718502,-0.012014770364177307,2,626.4671732444272,0.5423765800244581,0.2452323948390378,1577.7637591966377,0.2530036907401824,0.0,0.2490534147372534,301.63776053664384
frozen__ensemble__post_platt,frozen,ensemble,post_platt,3,0.24909843040236743,0.24908791138707437,0.002251990571376964,-0.011997893888862077,2,625.1288534330989,0.5423765800244581,0.24524000057338793,1574.7112530891782,0.2529994716213845,0.0,0.24905581901232984,300.6753072101187
frozen__ensemble__post_logit_intercept,frozen,ensemble,post_logit_intercept,3,0.2491607971316104,0.24914995428397677,0.0020010147838650516,-0.011511781216369421,2,583.8275189321525,0.5423765800244581,0.24558564670632163,1435.9886941317957,0.2528779434541504,0.0,0.2490188012343591,315.49386266466195
frozen__ensemble__members_logit_intercept,frozen,ensemble,members_logit_intercept,3,0.24916695955525844,0.2491559120305005,0.001976575670047239,-0.011773928735730799,2,590.1218581957505,0.5426678507796837,0.24553859709790493,1454.8717119225896,0.2529434803335113,0.0,0.2490188012343591,315.49386266466195
frozen__ensemble__members_isotonic,frozen,ensemble,members_isotonic,3,0.24916901549804749,0.2491557380487601,0.0019716418845087493,-0.014825966677944669,2,691.3630777156973,0.5428676085005331,0.24481003439067758,1747.2750501277058,0.25370648981348287,0.0,0.24899052228998195,326.814183019386
frozen__ensemble__raw_equal,frozen,ensemble,none,3,0.24918173690230952,0.24919382258036013,0.0019146275246459954,-0.005442871526765591,1,466.2627660164083,0.540980672725116,0.24567833655537127,1398.788298049225,0.250700280385936,0.0,0.25116659376562134,0.0
refit__ensemble__post_isotonic,refit,ensemble,post_isotonic,3,0.249238926977198,0.2492216661496991,0.0016936859889682039,-0.017806439270038332,2,762.9165745647648,0.5454348970010132,0.24447963239526047,1879.879485478586,0.25445160795605537,0.0,0.24878554058027816,408.87023821570835
frozen__ensemble__raw_weighted,frozen,ensemble,none,3,0.24930722156087595,0.2492973223060287,0.0014147505361112866,-0.011981213887126252,2,540.8488498486704,0.5423765800244581,0.24565379625859307,1408.637367494181,0.25299530162098105,0.0,0.2492725668030537,213.9091820518302
frozen__ensemble__post_isotonic,frozen,ensemble,post_isotonic,3,0.24942467218330555,0.24940870951472557,0.0009475027333083844,-0.016592886518910888,2,647.8464906278681,0.5422814685501005,0.2451517374864889,1610.135000411883,0.25414821977049296,0.0,0.24897405929293476,333.404471471721
frozen__hgb__platt,frozen,hgb,platt,3,0.24971696957704925,0.24971026540765365,-0.00022698003884369378,-0.012300089051224372,1,409.20631120765864,0.5351719425883773,0.2461048283194745,1227.6189336229759,0.2530750204114224,0.0,0.24997106000025085,0.0
frozen__hgb__affine_brier,frozen,hgb,affine_brier,3,0.24971802878863533,0.2497112691902579,-0.00023121091871166252,-0.012329684019373177,1,409.26908588830116,0.5351719425883773,0.24610435908449702,1227.8072576649035,0.25308241915340546,0.0,0.24996730812800352,0.0
frozen__hgb__isotonic,frozen,hgb,isotonic,3,0.24998884609257963,0.24997496099656294,-0.0013142039722516818,-0.01685219566840579,2,430.3194583883581,0.5356264904045672,0.24611936930976028,1221.7830130382579,0.25421304705739245,0.0,0.2496341219105861,69.17536212681652
frozen__hgb__logit_intercept,frozen,hgb,logit_intercept,3,0.2510701914332698,0.2510889930947302,-0.005644046885898812,-0.016947518826205377,1,409.6323006227235,0.5351719425883773,0.24610164408768637,1228.8969018681705,0.25306839586120794,0.0,0.25404053435091517,0.0
frozen__hgb__raw,frozen,hgb,none,3,0.2514138633798799,0.251438034363114,-0.007019530693950893,-0.02070647788572577,1,414.7630349079871,0.5351719425883773,0.24606329231970847,1244.2891047239614,0.25319874945855275,0.0,0.25497954836137854,0.0
