validation_season,rank,strategy,protocol,family,calibration,n,target_rate,prediction_mean,prediction_std,brier,reference_brier,raw_skill,competition_score,log_loss,roc_auc,linear_weight
2022,1,refit__hgb__raw,refit,hgb,none,247472,0.5289204435249241,0.5323991175831603,0.07425865658786628,0.24361100898709945,0.24916360794632167,0.022284951662838504,2228.4951662838503,0.6800497461953673,0.5758805948103125,
2022,2,refit__hgb__logit_intercept,refit,hgb,logit_intercept,247472,0.5289204435249241,0.5371909793109099,0.07400336048124243,0.2436674245818499,0.24916360794632167,0.02205853178067574,2205.853178067574,0.680165461643453,0.5758805948103125,
2022,3,refit__hgb__platt,refit,hgb,platt,247472,0.5289204435249241,0.5371615023599334,0.07314319061939034,0.24366893697868305,0.24916360794632167,0.022052461886096775,2205.2461886096776,0.6801664411197302,0.5758805948103125,
2022,4,refit__hgb__affine_brier,refit,hgb,affine_brier,247472,0.5289204435249241,0.5371860915128231,0.07317762521503819,0.24366913038685858,0.24916360794632167,0.022051685656465425,2205.1685656465424,0.6801670896582283,0.5758805948103125,
2022,5,refit__ensemble__post_platt,refit,ensemble,post_platt,247472,0.5289204435249241,0.5405179236171573,0.07962600460862729,0.24381568768210968,0.24916360794632167,0.021463488622159077,2146.3488622159075,0.6805085860490357,0.5760174610642426,0.3625094970916247
2022,6,refit__ensemble__raw_weighted,refit,ensemble,none,247472,0.5289204435249241,0.5288140972694277,0.060238980612484824,0.24385158189406014,0.24916360794632167,0.0213194298157936,2131.94298157936,0.6805766348295182,0.5760174610642426,0.3625094970916247
2022,7,refit__ensemble__post_affine_brier,refit,ensemble,post_affine_brier,247472,0.5289204435249241,0.5411826362282288,0.0813223605605383,0.2438572923193125,0.24916360794632167,0.02129651143979394,2129.651143979394,0.6806293395249888,0.5760174610642426,0.3625094970916247
2022,8,refit__hgb__isotonic,refit,hgb,isotonic,247472,0.5289204435249241,0.5329741414610585,0.06882052245592647,0.24386361024695338,0.24916360794632167,0.02127115489718745,2127.115489718745,0.6843294355470014,0.5754916657433147,
2022,9,refit__ensemble__post_logit_intercept,refit,ensemble,post_logit_intercept,247472,0.5289204435249241,0.5389067182056546,0.059870863479280244,0.24396171046240492,0.24916360794632167,0.020877436824712436,2087.7436824712436,0.680780026465051,0.5760174610642426,0.3625094970916247
2022,10,refit__ensemble__raw_equal,refit,ensemble,none,247472,0.5289204435249241,0.5274543915242643,0.055323495524758765,0.24409666722835985,0.24916360794632167,0.020335797670153366,2033.5797670153365,0.6811041041923721,0.5755730303467912,0.5
2022,11,refit__ensemble__members_logit_intercept,refit,ensemble,members_logit_intercept,247472,0.5289204435249241,0.5393675225312001,0.0566432151738539,0.24412270898340505,0.24916360794632167,0.020231280982263677,2023.1280982263677,0.6811207047148727,0.5757709053574452,0.4542391207486333
2022,12,refit__ensemble__members_platt,refit,ensemble,members_platt,247472,0.5289204435249241,0.5438343044882495,0.06769451874573668,0.2443564860629008,0.24916360794632167,0.019293033693975392,1929.3033693975392,0.6815986756416261,0.5736274383478688,0.5955550987839918
2022,13,refit__ensemble__members_isotonic,refit,ensemble,members_isotonic,247472,0.5289204435249241,0.5428131794439289,0.0694006318515375,0.24435775148944883,0.24916360794632167,0.019287954996655032,1928.7954996655033,0.681816032966115,0.5733776280516897,0.5710293422385877
2022,14,refit__ensemble__members_affine_brier,refit,ensemble,members_affine_brier,247472,0.5289204435249241,0.5440965024486746,0.06848514611655729,0.2443725711946449,0.24916360794632167,0.01922847718880727,1922.847718880727,0.6816445793769945,0.5736262376433875,0.5972825091320033
2022,15,refit__ensemble__post_isotonic,refit,ensemble,post_isotonic,247472,0.5289204435249241,0.5396222541379783,0.08555793654527752,0.24447963239526047,0.24916360794632167,0.01879879485478586,1879.879485478586,0.708347618480321,0.5757780444112838,0.3625094970916247
2022,16,frozen__ensemble__members_isotonic,frozen,ensemble,members_isotonic,247472,0.5289204435249241,0.5255580128891932,0.05555911764038725,0.24481003439067758,0.24916360794632167,0.017472750501277057,1747.2750501277058,0.6825829827490809,0.5710229507867735,0.5710293422385877
2022,17,refit__ensemble__raw_fixed_l80,refit,ensemble,none,247472,0.5289204435249241,0.5244875558889265,0.04584874976596463,0.24492514852699965,0.24916360794632167,0.017010748296095946,1701.0748296095946,0.6828453147261764,0.5723110915814952,0.8
2022,18,frozen__ensemble__members_affine_brier,frozen,ensemble,members_affine_brier,247472,0.5289204435249241,0.5225161225667481,0.05467541392018223,0.24498141125166545,0.24916360794632167,0.016784941946888177,1678.4941946888177,0.6829604947154585,0.5712280028606861,0.5972825091320033
2022,19,frozen__ensemble__members_platt,frozen,ensemble,members_platt,247472,0.5289204435249241,0.5223154887546754,0.054655695520605486,0.24499011918790967,0.24916360794632167,0.016749993278758035,1674.9993278758036,0.6829800041897487,0.5712172822381512,0.5955550987839918
