stage,validation_season,model,brier,competition_score,delta_vs_baseline,ci_low,ci_high,significant
v4_failure_decomp_current_primary,2022,catboost_failure_decomp,0.2443108176698076,1947.632046474268,0.0,0.0,0.0,False
v4_failure_decomp_current_primary,2024,catboost_failure_decomp,0.24838551055725072,569.0059190877283,0.0,0.0,0.0,False
