validation_season,model,train_rows,valid_rows,target_rate,prediction_mean,brier,raw_skill,competition_score,roc_auc
2022,constant,728588,247472,0.5289204435249241,0.5431423520563059,0.24936587062859672,-0.0008117665494657977,0.0,0.5
2022,asof_pitcher,728588,247472,0.5289204435249241,0.535404400236323,0.24687361939753347,0.009190702316694388,919.0702316694388,0.5549022157145751
2022,smoothed_asof_blend,728588,247472,0.5289204435249241,0.5384265453707836,0.2459152746443053,0.013036949210962545,1303.6949210962546,0.5644793678620172
2022,linear_sgd,728588,247472,0.5289204435249241,0.5225096654653683,0.2457012553735444,0.013895899972371506,1389.5899972371506,0.5664907192054024
2022,official_rf,728588,247472,0.5289204435249241,0.5303351304684889,0.243990458194977,0.020762059893028817,2076.205989302882,0.5745874084616435
2022,hist_gradient_boosting,728588,247472,0.5289204435249241,0.5323991175831603,0.24361100898709945,0.022284951662838504,2228.4951662838503,0.5758805948103125
2023,constant,976060,245525,0.49995723449750534,0.5395365039034486,0.2515665167378201,-0.006266074312673231,0.0,0.5
2023,asof_pitcher,976060,245525,0.49995723449750534,0.5237345124654075,0.25056718994130867,-0.002268767097384883,0.0,0.5324474241918312
2023,smoothed_asof_blend,976060,245525,0.49995723449750534,0.5248177343832405,0.25011337063486266,-0.0004534898583210545,0.0,0.530725660518475
2023,linear_sgd,976060,245525,0.49995723449750534,0.5125786698618076,0.24957374623096892,0.0017050077730443869,170.50077730443869,0.5321526134826622
2023,official_rf,976060,245525,0.49995723449750534,0.5203325254710321,0.2516607229076518,-0.006642898994756674,0.0,0.5291785150112931
2023,hist_gradient_boosting,976060,245525,0.49995723449750534,0.5217856670414783,0.25374881371480185,-0.01499526228445891,0.0,0.5235042504884329
2024,constant,1221585,253507,0.4861049201797189,0.5315815109059128,0.25187504706086583,-0.008278874933245417,0.0,0.5
2024,asof_pitcher,1221585,253507,0.4861049201797189,0.5114034714286939,0.2502744582201247,-0.001871571254674853,0.0,0.5341709326123419
2024,smoothed_asof_blend,1221585,253507,0.4861049201797189,0.515846639009321,0.2498314832718351,-9.830197811533381e-05,0.0,0.5339912979107615
2024,linear_sgd,1221585,253507,0.4861049201797189,0.4975101820013277,0.24892845112694617,0.0035166183790295014,351.66183790295014,0.537027251020936
2024,official_rf,1221585,253507,0.4861049201797189,0.5012184966520391,0.2487672812064766,0.004161796327303513,416.1796327303513,0.5394623102474008
2024,hist_gradient_boosting,1221585,253507,0.4861049201797189,0.4967986428838593,0.24834399919396818,0.0058562329788560685,585.6232978856068,0.5444404132830512
