validation_season,baseline_s4_brier,e22r_s4_brier,e22r_brier_delta,e22r_score_delta,history_labeled_rows
2022,0.24503246145381052,0.24502668714876907,-5.774305041450489e-06,2.3174752882382563,394866
2023,0.24920833793490654,0.24920619997308607,-2.1379618204697692e-06,0.8551847344496082,518230
2024,0.2484399779721525,0.2484355275724628,-4.450399689714946e-06,1.7815357434169528,661038
