validation_season,baseline_s4_brier,e16_s4_brier,e16_brier_delta,e16_score_delta,role_unseen_rows,feature_invariance_max_abs_delta
2022,0.24503246145381052,0.24502682720437008,-5.634249440444883e-06,2.261264992464703,38950,0.0
2023,0.24920833793490654,0.24920389178881897,-4.4461460875777625e-06,1.7784584480429544,33878,0.0
2024,0.2484399779721525,0.24845107604721314,1.1098075060639312e-05,-4.442661060177784,50348,0.0
