validation_season,candidate,predicted_prior,actual_target_rate,absolute_error,squared_error,history_prior
2022,all_history,0.5431423520563061,0.5289204435249241,0.014221908531382055,0.00020226268227499768,0.5431423520563061
2022,recent3,0.5431423520563061,0.5289204435249241,0.014221908531382055,0.00020226268227499768,0.5431423520563061
2022,recent2,0.5327368046012114,0.5289204435249241,0.0038163610762873557,1.4564611864601184e-05,0.5431423520563061
2022,r_recent3,0.5294373194967937,0.5289204435249241,0.000516875971869668,2.671607702962139e-07,0.5431423520563061
2022,r_recent2_f_recent,0.5222326485512971,0.5289204435249241,0.006687794973626926,4.4726601609269575e-05,0.5431423520563061
2023,all_history,0.5395365039034485,0.49995723449750534,0.039579269405943196,0.0015665185667082312,0.5395365039034485
2023,recent3,0.5314581931558647,0.49995723449750534,0.03150095865835939,0.0009923103963956675,0.5395365039034485
2023,recent2,0.5308395341313491,0.49995723449750534,0.030882299633843757,0.0009537164306745062,0.5395365039034485
2023,r_recent3,0.5145215247487199,0.49995723449750534,0.014564290251214584,0.00021211855052162418,0.5395365039034485
2023,r_recent2_f_recent,0.5299002327447985,0.49995723449750534,0.02994299824729313,0.0008965831440373994,0.5395365039034485
2024,all_history,0.5315815109059132,0.4861049201797189,0.04547659072619431,0.002068120304077782,0.5315815109059132
2024,recent3,0.5205942560651817,0.4861049201797189,0.034489335885462824,0.0011895142898202737,0.5315815109059132
2024,recent2,0.5144960314160126,0.4861049201797189,0.02839111123629373,0.0008060551972316042,0.5315815109059132
2024,r_recent3,0.5065492561807655,0.4861049201797189,0.020444336001046615,0.0004179708745236907,0.5315815109059132
2024,r_recent2_f_recent,0.5138500924852908,0.4861049201797189,0.027745172305571886,0.0007697945862658732,0.5315815109059132
