validation_season,history_rows,valid_rows,baseline_brier,e14_brier,e14_brier_delta,baseline_score,e14_score,e14_score_delta,standalone_e14_brier,invalid_rows,unseen_pitcher_rows,feature_invariance_max_abs_delta,residual_correlation
2022,728588,247472,0.24529082335105196,0.24503246145381052,-0.00025836189724143255,1554.3139012917372,1658.0055677316795,103.69166643994231,0.24621313874376266,0,38950,0.0,0.9998756826523143
2023,976060,245525,0.24973661324939242,0.24920833793490654,-0.0005282753144858765,105.35396945846598,316.6640967986578,211.3101273401918,0.24832831580124748,0,33878,0.0,0.9998715931739646
2024,1221585,253507,0.24878345821887318,0.2484399779721525,-0.0003434802467206788,409.70382655211023,547.202114201717,137.49828764960677,0.24841956183961306,0,50348,0.0,0.9998494160095287
